timestamp,src_ip,dst_ip,protocol,length,info
2026-08-11T20:55:03.233341,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2603:1040:a06:6::,TLS,75,TLS application data (encrypted)
2026-08-11T20:55:03.278335,fe80::a042:b2ff:fe4e:1aca,ff02::1:ffaf:658d,ICMPV6,86,ICMPV6
2026-08-11T20:55:03.291032,2603:1040:a06:6::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,86,443 -> 49409 [ACK] Len=0
2026-08-11T20:55:03.534315,2001:4860:4844:400::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1294,TLS application data (encrypted)
2026-08-11T20:55:03.538227,2001:4860:4844:400::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1294,TLS application data (encrypted)
2026-08-11T20:55:03.538282,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2001:4860:4844:400::,TCP,74,25476 -> 443 [ACK] Len=0
2026-08-11T20:55:03.538693,2001:4860:4844:400::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1294,TLS application data (encrypted)
2026-08-11T20:55:03.538695,2001:4860:4844:400::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1294,TLS application data (encrypted)
2026-08-11T20:55:03.538697,2001:4860:4844:400::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,1294,TLS application data (encrypted)
2026-08-11T20:55:03.538730,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2001:4860:4844:400::,TCP,74,25476 -> 443 [ACK] Len=0
2026-08-11T20:55:03.539062,2001:4860:4844:400::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,346,TLS application data (encrypted)
2026-08-11T20:55:03.539090,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2001:4860:4844:400::,TCP,74,25476 -> 443 [ACK] Len=0
2026-08-11T20:55:03.783122,fe80::a042:b2ff:fe4e:1aca,ff02::1:ffdd:ede9,ICMPV6,86,ICMPV6
2026-08-11T20:55:04.295228,fe80::a042:b2ff:fe4e:1aca,ff02::1:ffaf:658d,ICMPV6,86,ICMPV6
2026-08-11T20:55:04.337304,10.242.170.37,10.242.170.108,ARP,42,Who has 10.242.170.108? Tell 10.242.170.37
2026-08-11T20:55:04.348278,10.242.170.108,10.242.170.37,ARP,42,10.242.170.108 is at b8:1e:a4:34:01:bd
2026-08-11T20:55:04.348303,10.242.170.37,10.242.170.108,ICMP,74,Echo (ping) request
2026-08-11T20:55:04.349013,10.242.170.108,10.242.170.37,ARP,42,10.242.170.108 is at b8:1e:a4:34:01:bd
2026-08-11T20:55:04.350627,10.242.170.108,10.242.170.37,ARP,42,10.242.170.108 is at b8:1e:a4:34:01:bd
2026-08-11T20:55:04.357606,10.242.170.108,10.242.170.37,ICMP,74,Echo (ping) reply
2026-08-11T20:55:04.808574,fe80::a042:b2ff:fe4e:1aca,ff02::1:ffdd:ede9,ICMPV6,86,ICMPV6
